trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Dixon, Scott","17","1","4","5.88","23.53","-2","24","3","6","12.5","25","6.63","810","62","180","7.65","22.22","-116.12","7","14","478","37","103","7.74","21.55","-76.62","32","3","12","9.38","9.38","-21","743","55","162","7.4","7.4","-132.75",
"Dods, M","2","0","1","0","50","-2","3","0","2","0","66.67","-3","1016","111","320","10.93","31.5","-161.17","76","27","515","56","164","10.87","31.84","-113.96","124","37","76","29.84","29.84","-0.91","762","83","239","10.89","10.89","-112.21",
"Drinkwater, S W","2","0","0","0","0","-2","8","0","1","0","12.5","-8","207","23","63","11.11","30.43","-66.38","41","20","95","9","26","9.47","27.37","-44.37","25","7","14","28","28","-4.46","136","15","44","11.03","11.03","-56.74",
"Easterby, M W","3","0","0","0","0","-3","10","0","1","0","10","-10","910","80","242","8.79","26.59","-336.22","53","30","449","46","125","10.24","27.84","-102.82","113","24","57","21.24","21.24","-33.84","690","72","210","10.43","10.43","-148.09",
"Easterby, T D","2","0","0","0","0","-2","6","0","1","0","16.67","-6","3018","276","824","9.15","27.3","-821.93","21","12","1566","127","405","8.11","25.86","-512.81","315","85","173","26.98","26.98","-37.82","2411","239","699","9.91","9.91","-481.43",
"Elliott, Gordon","21","4","8","19.05","38.1","-5.95","53","8","20","15.09","37.74","-22.2","2279","365","866","16.02","38","-502.79","1","1","1491","226","535","15.16","35.88","-409.04","446","191","306","42.83","42.83","-13.14","742","73","188","9.84","9.84","-176.64",
"Ellison, B","2","0","0","0","0","-2","9","1","2","11.11","22.22","-6","934","95","277","10.17","29.66","-340.13","14","9","437","45","127","10.3","29.06","-173.03","110","36","66","32.73","32.73","-2.42","705","74","215","10.5","10.5","-218.65",
"England, Sam","0","0","0","0","0","0","6","0","1","0","16.67","-6","403","50","133","12.41","33","-143.49","19","8","190","28","65","14.74","34.21","-59.4","83","27","54","32.53","32.53","3.18","341","46","125","13.49","13.49","-103.62",
"Fahey, R A","5","1","2","20","40","2.5","13","1","3","7.69","23.08","-5.5","2021","218","574","10.79","28.4","-450.92","1","1","871","104","252","11.94","28.93","-95.94","182","61","110","33.52","33.52","12.89","1403","153","381","10.91","10.91","-307.02",
"Fairhurst, C W","1","0","0","0","0","-1","2","0","1","0","50","-2","134","10","30","7.46","22.39","23.33","271","51","64","3","15","4.69","23.44","-4.25","9","1","5","11.11","11.11","-4.67","105","8","25","7.62","7.62","-49.67",
"Fell, Roger","4","0","0","0","0","-4","8","2","2","25","25","8.5","997","86","261","8.63","26.18","-274.63","11","5","543","47","137","8.66","25.23","-118.32","80","25","43","31.25","31.25","-3.29","807","71","216","8.8","8.8","-223.94",
"Foy, Kevin","7","1","4","14.29","57.14","-1","11","2","5","18.18","45.45","-2","607","95","241","15.65","39.7","-87.6","3","1","404","63","159","15.59","39.36","-36.19","137","36","75","26.28","26.28","-46.98","389","67","150","17.22","17.22","-54.06",
"Fry, Harry","5","0","0","0","0","-5","8","0","1","0","12.5","-8","418","81","182","19.38","43.54","-71.85","15","9","205","46","96","22.44","46.83","-23.4","112","43","73","38.39","38.39","-10.34","244","38","95","15.57","15.57","-37.78",
"Furtado, Ivan","10","0","1","0","10","-10","20","0","6","0","30","-20","718","65","189","9.05","26.32","-337.96","31","37","376","26","89","6.91","23.67","-212.7","81","24","50","29.63","29.63","-15.04","547","51","152","9.32","9.32","-235.45",
"Gilligan, Paul John","0","0","0","0","0","0","1","0","0","0","0","-1","177","4","23","2.26","12.99","-132.5","45","9","93","1","10","1.08","10.75","-85","5","0","1","0","0","-5","69","2","12","2.9","2.9","-41",
"Goldie, J S","3","1","1","33.33","33.33","7","6","2","3","33.33","50","6.63","922","109","255","11.82","27.66","-177.77","5","1","559","64","154","11.45","27.55","-200.1","96","39","59","40.63","40.63","20.94","802","103","241","12.84","12.84","-108.87",
"Gordon, C","6","1","3","16.67","50","-3","10","2","4","20","40","5","524","98","183","18.7","34.92","34","1","4","246","61","99","24.8","40.24","61.1","81","43","57","53.09","53.09","31.79","341","66","110","19.35","19.35","97.67",
"Gosden, John and Thady","5","0","1","0","20","-5","8","0","1","0","12.5","-8","1287","272","600","21.13","46.62","-196.4","17","11","594","134","278","22.56","46.8","-62.62","377","152","263","40.32","40.32","-61.77","383","60","152","15.67","15.67","-71.96",
"Grant, C","0","0","0","0","0","0","2","1","1","50","50","-0.38","186","11","46","5.91","24.73","-89.5","14","1","86","2","23","2.33","26.74","-77.88","6","1","4","16.67","16.67","-4.38","118","8","26","6.78","6.78","-31.5",
"Greenall, Oliver","3","1","1","33.33","33.33","-0.5","13","3","4","23.08","30.77","-5.87","732","99","226","13.52","30.87","-116.3","4","1","358","62","123","17.32","34.36","-36.99","119","39","72","32.77","32.77","-9.97","479","81","179","16.91","16.91","-3.46",
"Haggas, W J","5","0","3","0","60","-5","7","0","3","0","42.86","-7","1376","345","672","25.07","48.84","-110.43","20","10","662","164","326","24.77","49.24","-88.35","508","216","343","42.52","42.52","-5.74","571","132","256","23.12","23.12","-38.49",
"Hales, A M","2","0","2","0","100","-2","4","0","2","0","50","-4","411","36","115","8.76","27.98","-148.07","20","6","195","19","55","9.74","28.21","-22.46","46","10","23","21.74","21.74","-17.46","266","22","72","8.27","8.27","-78.58",
"Hamilton, Mrs A C","0","0","0","0","0","0","3","1","2","33.33","66.67","23","90","8","16","8.89","17.78","-17.5","14","3","42","4","8","9.52","19.05","2.5","3","1","1","33.33","33.33","1","75","7","13","9.33","9.33","-6.5",
"Hammond, Micky","4","1","1","25","25","2","9","1","2","11.11","22.22","-3","1097","98","247","8.93","22.52","-23.01","2","1","529","56","136","10.59","25.71","-30.14","69","23","41","33.33","33.33","0.29","878","83","205","9.45","9.45","-43.8",
"Hanmer, G D","3","0","0","0","0","-3","4","0","0","0","0","-4","338","56","121","16.57","35.8","5.12","112","30","172","26","58","15.12","33.72","-25.58","55","23","41","41.82","41.82","5.29","285","51","109","17.89","17.89","42.63",
"Harrington, Mrs John","0","0","0","0","0","0","1","0","0","0","0","-1","1697","181","525","10.67","30.94","-386.01","83","32","713","70","215","9.82","30.15","-255.52","169","46","103","27.22","27.22","-27.94","667","71","195","10.64","10.64","-14.26",
"Harris, M F","7","0","1","0","14.29","-7","21","0","2","0","9.52","-21","710","121","252","17.04","35.49","-142.61","18","28","394","65","138","16.5","35.03","-124.76","136","56","95","41.18","41.18","6.25","456","73","156","16.01","16.01","-112.72",
"Haslam, B M R","0","0","0","0","0","0","2","0","0","0","0","-2","539","54","132","10.02","24.49","-60.65","44","19","235","23","65","9.79","27.66","14.86","50","19","29","38","38","6.76","454","49","116","10.79","10.79","-13.08",
"Haynes, Alice","7","0","1","0","14.29","-7","8","0","2","0","25","-8","608","74","193","12.17","31.74","-23.51","27","11","373","46","114","12.33","30.56","-7.93","85","29","52","34.12","34.12","-1.34","411","42","126","10.22","10.22","-45.44",
"Henderson, N J","7","1","2","14.29","28.57","-5.86","17","4","6","23.53","35.29","-7.73","1055","218","412","20.66","39.05","-205.93","4","6","455","95","184","20.88","40.44","-90.2","316","128","194","40.51","40.51","-25.3","543","91","174","16.76","16.76","-76.76",
"Herrington,M ","4","1","1","25","25","-1.5","12","3","4","25","33.33","5.5","393","36","119","9.16","30.28","-108.37","7","4","205","24","73","11.71","35.61","-13.87","31","11","23","35.48","35.48","2.88","328","35","108","10.67","10.67","-54.37",
"Hogan, Denis Gerard","5","0","3","0","60","-5","13","0","3","0","23.08","-13","1379","86","329","6.24","23.86","-457.45","16","14","668","42","156","6.29","23.35","-215.44","81","16","45","19.75","19.75","-31.11","856","55","211","6.43","6.43","-240.64",
"Hughes, Richard","5","1","3","20","60","4","9","1","4","11.11","44.44","0","800","108","273","13.5","34.13","-126.91","4","3","404","58","152","14.36","37.62","-28.59","131","33","75","25.19","25.19","-43.61","512","69","178","13.48","13.48","-81.42",
"Humphrey, Mrs S J","0","0","0","0","0","0","3","1","1","33.33","33.33","5.5","116","17","30","14.66","25.86","88.33","9","3","58","9","19","15.52","32.76","-3.5","2","1","1","50","50","1.75","87","16","27","18.39","18.39","113.58",
"Ivory, D K","2","0","0","0","0","-2","5","1","2","20","40","-1.75","341","28","85","8.21","24.93","-128.04","12","4","179","19","47","10.61","26.26","-23.54","24","7","15","29.17","29.17","-1.37","290","26","77","8.97","8.97","-87.29",
"Jardine, I","10","1","4","10","40","-5.5","22","2","8","9.09","36.36","-6.5","1273","118","314","9.27","24.67","-394.75","3","3","649","68","172","10.48","26.5","-141.78","104","30","61","28.85","28.85","-12.54","986","100","263","10.14","10.14","-256.49",
"Jefferson, Ruth","0","0","0","0","0","0","0","0","0","0","0","0","139","18","39","12.95","28.06","-39.59","76","10","74","7","19","9.46","25.68","-44.64","21","11","15","52.38","52.38","17.53","89","12","25","13.48","13.48","-9.58",
"Johnston, Charlie","11","1","3","9.09","27.27","-6.67","19","3","6","15.79","31.58","-1.17","96","15","31","15.63","32.29","-31.64","7","11","96","15","31","15.63","32.29","-31.64","19","5","12","26.32","26.32","-8.97","72","12","24","16.67","16.67","-15.38",
"Keatley, Adrian Paul","1","0","0","0","0","-1","3","0","1","0","33.33","-3","473","34","124","7.19","26.22","-187.9","26","8","218","22","60","10.09","27.52","-32.9","39","11","16","28.21","28.21","-1.4","286","22","68","7.69","7.69","-142.4",
"Kelleway, Miss Gay","3","0","1","0","33.33","-3","6","0","1","0","16.67","-6","404","41","90","10.15","22.28","-43.87","32","18","211","32","51","15.17","24.17","22.63","20","6","8","30","30","-3.37","302","33","69","10.93","10.93","-32.87",
"Kent, Nick","1","0","0","0","0","-1","2","0","0","0","0","-2","98","14","25","14.29","25.51","8.68","36","8","46","5","10","10.87","21.74","30.83","12","5","7","41.67","41.67","-0.81","76","11","22","14.47","14.47","25.55",
"Kirby, P A","10","1","4","10","40","-2","17","3","8","17.65","47.06","3.38","1010","86","241","8.51","23.86","-470.26","4","1","468","39","113","8.33","24.15","-176.11","87","27","54","31.03","31.03","-18.93","807","74","214","9.17","9.17","-366.8",
