Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Ryan, J J G","8","0","2","0","25","-8","154","8","24","5.19","15.58","-30","19","9","144","8","24","5.56","16.67","-20","5","2","3","40","40","3.5","126","7","23","5.56","5.56","-69",
"Ryan, Rossa","35","7","8","20","22.86","20.5","1530","228","531","14.9","34.71","-213.94","1","3","782","115","269","14.71","34.4","-91.89","275","112","171","40.73","40.73","61.78","957","143","330","14.94","14.94","-110.23",
"Sanderson, Benjamin","6","1","1","16.67","16.67","0","173","11","41","6.36","23.7","-40.5","5","2","91","7","22","7.69","24.18","-6.5","9","1","4","11.11","11.11","-4","148","11","39","7.43","7.43","-15.5",
"Saunders, Tyler","4","0","1","0","25","-4","118","11","34","9.32","28.81","-39.67","15","5","47","5","12","10.64","25.53","-18.5","7","1","2","14.29","14.29","-2.5","96","10","32","10.42","10.42","-24.67",
"Scallan, Mr J L","0","0","0","0","0","0","21","3","8","14.29","38.1","-3.75","495","13","10","0","4","0","40","-10","3","1","3","33.33","33.33","0.25","3","0","2","0","0","-3",
"Scott, Rowan","29","2","7","6.9","24.14","11","857","69","178","8.05","20.77","-189.8","12","25","464","37","99","7.97","21.34","-113.43","64","19","28","29.69","29.69","1.62","639","54","141","8.45","8.45","-133.58",
"Sexton, Ryan","2","0","0","0","0","-2","275","38","95","13.82","34.55","-47.83","21","14","257","37","92","14.4","35.8","-44.83","49","18","34","36.73","36.73","9.18","240","35","83","14.58","14.58","-26.73",
"Shaw, Harrison","22","4","5","18.18","22.73","19.83","811","50","167","6.17","20.59","-275.03","10","12","305","21","58","6.89","19.02","-58.13","48","8","19","16.67","16.67","-23.11","610","39","127","6.39","6.39","-213.74",
"Shepherd, Callum","24","2","4","8.33","16.67","38","1434","153","405","10.67","28.24","-321.45","2","4","617","61","163","9.89","26.42","-164.28","170","51","107","30","30","-33.03","911","100","268","10.98","10.98","-163.08",
"Sheridan, J M","14","2","4","14.29","28.57","-2.5","792","43","169","5.43","21.34","-385.42","7","8","326","16","72","4.91","22.09","-219","50","9","23","18","18","-15.75","548","31","128","5.66","5.66","-246.92",
"Shoemark, Kieran","32","2","6","6.25","18.75","-17","1273","149","341","11.7","26.79","29","3","6","588","66","174","11.22","29.59","-60.98","113","42","67","37.17","37.17","9.26","780","88","206","11.28","11.28","140.56",
"Slattery, A J","20","2","6","10","30","-3","785","58","195","7.39","24.84","-175.51","8","10","357","28","88","7.84","24.65","-73.84","36","8","19","22.22","22.22","-2.67","506","43","122","8.5","8.5","-46.42",
"Smithers, P T","1","0","0","0","0","-1","26","2","7","7.69","26.92","4","29","7","26","2","7","7.69","26.92","4","1","0","0","0","0","-1","8","1","1","12.5","12.5","1",
"Spencer, Jamie","22","2","8","9.09","36.36","-8","621","78","204","12.56","32.85","-143.68","5","3","280","30","88","10.71","31.43","-48.02","124","38","68","30.65","30.65","-31.51","364","51","121","14.01","14.01","-66.72",
