trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Bethell, Ed","3","0","2","0","66.67","-3","6","0","3","0","50","-6","14","3","7","21.43","50","-5.67","29","5","15","17.24","51.72","-10.92","516","92","215","17.83","41.67","-124.17","6","12","305","47","129","15.41","42.3","-123.32","128","50","78","39.06","39.06","1.21","311","60","129","19.29","19.29","-35.89",
"Bethell, Harriet","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","5","1","1","20","20","-2.62","163","27","64","16.56","39.26","7.44","8","3","72","11","27","15.28","37.5","4.38","26","7","14","26.92","26.92","-6.81","159","27","63","16.98","16.98","11.44",
"Boughey, George","1","0","0","0","0","-1","8","1","2","12.5","25","5","19","3","6","15.79","31.58","16","40","4","11","10","27.5","0.5","1457","233","547","15.99","37.54","-276.93","3","3","711","109","267","15.33","37.55","-130.08","295","102","188","34.58","34.58","-43.04","824","135","312","16.38","16.38","-74.56",
"Bourke, D F","1","0","0","0","0","-1","2","0","1","0","50","-2","3","0","1","0","33.33","-3","5","0","1","0","20","-5","220","21","59","9.55","26.82","-48.5","15","6","121","10","31","8.26","25.62","-52.25","21","5","11","23.81","23.81","-3.25","184","19","51","10.33","10.33","-28.75",
"Bowen, Peter / Michael","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","4","1","1","25","25","5.5","487","69","150","14.17","30.8","-110.84","13","4","249","33","77","13.25","30.92","-53.72","88","34","55","38.64","38.64","6.45","370","51","110","13.78","13.78","-55.11",
"Boyle, J R","0","0","0","0","0","0","0","0","0","0","0","0","4","1","2","25","50","-0.25","10","2","5","20","50","3.25","384","35","106","9.11","27.6","-162.13","6","2","199","21","59","10.55","29.65","-69.46","37","9","19","24.32","24.32","-8.87","338","35","99","10.36","10.36","-116.13",
"Brennan, F J","1","0","0","0","0","-1","1","0","0","0","0","-1","3","0","1","0","33.33","-3","4","0","1","0","25","-4","110","9","24","8.18","21.82","18.41","33","8","71","8","21","11.27","29.58","52.91","5","1","2","20","20","-3.09","64","6","15","9.38","9.38","39.91",
"Brittain, Antony","5","0","0","0","0","-5","5","0","0","0","0","-5","5","0","0","0","0","-5","13","1","3","7.69","23.08","-2","561","34","137","6.06","24.42","-283.71","12","7","253","9","48","3.56","18.97","-175.04","18","7","11","38.89","38.89","4.71","483","32","118","6.63","6.63","-213.84",
"Bromhead, Henry De","1","0","1","0","100","-1","4","0","2","0","50","-4","14","0","6","0","42.86","-14","20","2","11","10","55","-12.87","1394","201","508","14.42","36.44","-217.88","11","16","754","111","279","14.72","37","-141.97","230","75","152","32.61","32.61","-36.14","543","57","163","10.5","10.5","-54.29",
"Brown, A D","1","0","0","0","0","-1","2","0","0","0","0","-2","4","0","0","0","0","-4","9","0","0","0","0","-9","325","37","103","11.38","31.69","-59.12","28","13","159","13","49","8.18","30.82","-54.21","46","10","22","21.74","21.74","-15.03","265","33","87","12.45","12.45","-20.17",
