horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Breccia","19:55:00","2022-09-02","Kempton","All Weather","Handicap","2m ","16","Standard To Slow","13","Class 4","14","11","Davies, Harry","33","Stephens, Robert","126","67","11","12.3",
"Breccia","19:50:00","2022-08-19","Wolverhampton","All Weather","Handicap","2m½f ","16.5","Standard","6","Class 6","17","1","Fisher, Taylor","20","Stephens, Robert","137","62","6",,
"Breccia","13:25:00","2022-08-02","Ffos Las","Flat (Turf)","Handicap","1m6f ","14","Good To Soft","12","Class 4","25","9","Scott, Luke","100","Stephens, Robert","141","68","14","24.15",
"Gulick (IRE)","20:30:00","2022-10-15","Wolverhampton","All Weather","Handicap","2m½f ","16.5","Standard","12","Class 6","16","11","Cherchi, Stefano","12","Orourke, Brian","118","47","8","37",
"Gulick (IRE)","19:45:00","2022-09-29","Wolverhampton","All Weather","Handicap","1m6f ","14","Standard","9","Class 6","146","4","Cherchi, Stefano","40","Orourke, Brian","120","45","7","4.75",
"Gulick (IRE)","18:10:00","2022-05-06","Nottingham","Flat (Turf)","Novices","1m2f ","10","Good","11","Class 5","11","10","Haynes, Joey","300","Orourke, Brian","130","0","10","36.05",
"Gulick (IRE)","19:25:00","2022-04-25","Windsor","Flat (Turf)","Maiden","1m2f ","10","Good To Firm","12","Class 5","21","9","Haynes, Joey","200","Orourke, Brian","123","0","5","26.25",
"Gulick (IRE)","16:00:00","2022-04-04","Windsor","Flat (Turf)","Novices","1m2f ","10","Good","11","Class 5","No Prev","9","Dawson, R","100","Orourke, Brian","131","0","4","26.5",
"Hidden Pearl","18:30:00","2022-10-27","Chelmsford City","All Weather","Handicap","1m6f ","14","Standard","9","Class 6","28","3","McManoman, Faye","7","Berry, John","129","49","8","0.25",
"Hidden Pearl","19:45:00","2022-09-29","Wolverhampton","All Weather","Handicap","1m6f ","14","Standard","9","Class 6","38","2","McManoman, Faye","14","Berry, John","132","49","3","2.5",
"Hidden Pearl","15:20:00","2022-08-22","Brighton","Flat (Turf)","Handicap","1m4f ","12","Good To Firm","6","Class 6","17","4","Davies, Harry","3","Berry, John","118","50","8","0.95",
"Hidden Pearl","15:20:00","2022-08-05","Brighton","Flat (Turf)","Non-Handicap","1m4f ","12","Good To Firm","6","Class 6","24","2","Currie, Nicola","3","Berry, John","135","50","5","2",
"Hidden Pearl","13:30:00","2022-07-12","Bath","Flat (Turf)","Handicap","1m6f ","14","Firm","5","Class 6","19","1","Davies, Harry","2.5","Berry, John","118","46","1",,
"King Charles (USA)","13:20:00","2022-10-24","Leicester","Flat (Turf)","Handicap","1m4f ","12","Heavy","9","Class 6","28","8","Llewellyn, Jessica","9","Llewellyn, B J","149","57","4","24",
"King Charles (USA)","13:25:00","2022-09-26","Ffos Las","Flat (Turf)","Handicap","1m6f ","14","Good To Soft","11","Class 6","53","4","Williams, Jordan","4.5","Llewellyn, B J","136","57","1","5.75",
"King Charles (USA)","17:53:00","2022-08-04","Ayr","Flat (Turf)","Handicap","1m5f ","13","Good","6","Class 6","30","1","Llewellyn, Jessica","2.25","Llewellyn, B J","144","55","2",,
"King Charles (USA)","20:50:00","2022-07-05","Ffos Las","Flat (Turf)","Handicap","2m ","16","Good","10","Class 5","15","4","Doyle, Hollie","8","Llewellyn, B J","120","55","6","7.03",
"King Charles (USA)","17:55:00","2022-06-20","Wolverhampton","All Weather","Handicap","1m6f ","14","Standard","10","Class 6","16","1","Llewellyn, Jessica","18","Llewellyn, B J","148","52","4",,
"Longclaw (USA)","17:45:00","2022-09-28","Newcastle","All Weather","Handicap","1m4½f ","12.5","Standard To Slow","6","Class 5","13","2","Nolan, D","8.5","Frost, Kevin","139","65","4","3.75",
"Longclaw (USA)","20:30:00","2022-09-15","Chelmsford City","All Weather","Handicap","1m2f ","10","Standard","9","Class 5","23","6","Crehan, Mark","40","Frost, Kevin","138","69","7","9.9",
"Longclaw (USA)","16:40:00","2022-08-23","Bellewstown","National Hunt","Claimer Hurdle","2m4f ","20","Good","15","Ire","15","PU","McGarvey, J S","33","Kelly, Noel C","148","104","0",,
"Longclaw (USA)","17:25:00","2022-08-08","Ballinrobe","National Hunt","Claimer Hurdle","2m½f ","16.5","Good","6","Ire","43","PU","McGarvey, J S","33","Kelly, Noel C","168","110","0",,
"Longclaw (USA)","16:30:00","2022-06-26","Cartmel","National Hunt","Handicap Hurdle","2m6½f ","22.5","Good To Soft","12","Class 4","14","9","Wedge, Adam","50","Kelly, Noel C","168","120","0","36.55",
"Siofra (IRE)","13:10:00","2022-11-01","Southwell","All Weather","Handicap","1m4f ","12","Standard","13","Class 6","40","4","Smith, Becky","12","Scott, George","153","57","12","2.35",
