Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Mullins, D E","22","8","9","36.36","40.91","4.68","902","109","264","12.08","29.27","-144.08","1","4","501","60","150","11.98","29.94","-79.29","111","36","70","32.43","32.43","-15.9","386","39","105","10.1","10.1","-103.61",
"Mullins, Mr P W","8","2","7","25","87.5","3.2","313","104","203","33.23","64.86","-41.46","7","4","158","54","100","34.18","63.29","-19.28","195","86","146","44.1","44.1","-22.8","13","5","8","38.46","38.46","36",
"Mulqueen, S","11","1","3","9.09","27.27","-6.5","443","21","75","4.74","16.93","-316.11","4","4","205","11","37","5.37","18.05","-149.49","14","6","8","42.86","42.86","5.89","301","17","58","5.65","5.65","-195.61",
"Nichol, Craig","17","2","4","11.76","23.53","-5.25","684","64","175","9.36","25.58","-163.99","1","1","389","38","97","9.77","24.94","-28.02","47","21","30","44.68","44.68","16.68","433","49","126","11.32","11.32","-112.49",
"Nolan, Michael G","15","1","3","6.67","20","-8.5","361","34","76","9.42","21.05","-128.28","4","7","194","20","43","10.31","22.16","-65.91","22","5","10","22.73","22.73","-4.49","241","27","60","11.2","11.2","-82.28",
"Noonan, David G","18","1","4","5.56","22.22","-13.67","686","42","129","6.12","18.8","-395.47","6","12","356","27","75","7.58","21.07","-184.1","36","15","23","41.67","41.67","8.02","442","26","94","5.88","5.88","-255.08",
"Obrien, P V","15","3","4","20","26.67","28.5","358","36","87","10.06","24.3","-108.7","1","1","173","23","47","13.29","27.17","-7.78","22","8","12","36.36","36.36","-0.78","213","29","61","13.62","13.62","-12.16",
"OBrien, T J","20","0","7","0","35","-20","856","94","266","10.98","31.07","-362.7","36","47","354","35","108","9.89","30.51","-163.79","128","37","71","28.91","28.91","-27.03","572","60","181","10.49","10.49","-207.94",
"OConnor, M P","8","0","2","0","25","-8","435","36","110","8.28","25.29","-181.38","35","17","131","10","24","7.63","18.32","-69.7","33","9","21","27.27","27.27","-3.04","272","22","65","8.09","8.09","-99.51",
"OConnor, Miss A B","3","1","1","33.33","33.33","1.33","122","17","40","13.93","32.79","23.3","10","3","80","12","22","15","27.5","43.1","16","7","11","43.75","43.75","4.22","60","7","16","11.67","11.67","-28.3",
