Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Brooks, Chelsea","0","0","0","0","0","0","19","3","4","15.79","21.05","27.5","378","11","9","0","1","0","11.11","-9","0","0","0","0","0","0","19","3","4","15.79","15.79","27.5",
"Brouder, Gavin","14","1","6","7.14","42.86","-8","310","18","59","5.81","19.03","-30.92","6","6","173","9","36","5.2","20.81","-68.12","12","2","5","16.67","16.67","-5.3","197","13","39","6.6","6.6","-13.3",
"Brown, Pippa","2","0","0","0","0","-2","26","2","7","7.69","26.92","-7.5","44","5","16","1","5","6.25","31.25","-7.5","1","0","0","0","0","-1","20","2","6","10","10","-1.5",
"Bryan, Joshua","13","1","4","7.69","30.77","-9.75","359","36","98","10.03","27.3","-56.27","13","13","199","20","53","10.05","26.63","-55","23","8","16","34.78","34.78","1.48","220","22","65","10","10","-31.87",
"Buckley, Kieran","12","0","4","0","33.33","-12","442","37","120","8.37","27.15","-189.9","53","28","291","19","66","6.53","22.68","-157.6","49","14","30","28.57","28.57","-4.9","276","25","78","9.06","9.06","-81.24",
"Buick, William","52","15","22","28.85","42.31","34.14","1557","374","715","24.02","45.92","-95.82","1","3","746","171","335","22.92","44.91","-35.28","559","225","354","40.25","40.25","-12.23","824","181","349","21.97","21.97","-52.36",
"Burns, Harry","12","1","4","8.33","33.33","-10.09","390","46","108","11.79","27.69","-127.22","7","9","205","22","62","10.73","30.24","-79.27","35","10","18","28.57","28.57","-7.8","303","35","86","11.55","11.55","-81.21",
"Byrnes, Mr P","13","4","8","30.77","61.54","-1.72","206","25","57","12.14","27.67","-90.92","4","2","184","24","50","13.04","27.17","-71.02","27","13","18","48.15","48.15","7.83","111","12","26","10.81","10.81","-51.5",
"Callan, Mr Jack","1","0","0","0","0","-1","6","0","0","0","0","-6","9999","9999","6","0","0","0","0","-6","0","0","0","0","0","0","6","0","0","0","0","-6",
"Cannon, Tom J","1","1","1","100","100","2.5","829","144","292","17.37","35.22","-120.8","10","1","398","62","123","15.58","30.9","-42.46","139","66","92","47.48","47.48","24.87","465","75","137","16.13","16.13","-64.47",
"Carberry, Peter","3","0","0","0","0","-3","314","11","47","3.5","14.97","-237","21","4","155","7","28","4.52","18.06","-103.5","14","3","6","21.43","21.43","-2.5","151","9","37","5.96","5.96","-90.5",
"Catton, Luke","16","1","4","6.25","25","-13.25","242","26","57","10.74","23.55","-12.16","1","2","141","13","31","9.22","21.99","-37.05","16","5","8","31.25","31.25","-2.66","214","25","50","11.68","11.68","-35.16",
"Chalkley, Lewis","2","0","0","0","0","-2","19","1","4","5.26","21.05","-10.5","57","15","19","1","4","5.26","21.05","-10.5","1","0","0","0","0","-1","19","1","4","5.26","5.26","-10.5",
"Cleary, Mr S","0","0","0","0","0","0","8","0","0","0","0","-8","9999","9999","7","0","0","0","0","-7","0","0","0","0","0","0","0","0","0","0","0","0",
"Coakley, Ross","17","0","4","0","23.53","-17","738","96","254","13.01","34.42","-176.52","16","21","348","45","114","12.93","32.76","-96.79","99","37","60","37.37","37.37","2.19","454","58","149","12.78","12.78","-107.8",
"Cobden, Harry","16","3","6","18.75","37.5","-6.5","987","240","439","24.32","44.48","-101.45","1","3","566","145","268","25.62","47.35","-24.3","305","143","193","46.89","46.89","13.63","559","106","215","18.96","18.96","-72.2",
"Coen, J","8","0","1","0","12.5","-8","591","41","146","6.94","24.7","-276.2","37","16","206","10","46","4.85","22.33","-128","51","11","25","21.57","21.57","-12.86","458","28","110","6.11","6.11","-215.26",
"Cole, Morgan","12","0","1","0","8.33","-12","204","18","53","8.82","25.98","-46.07","24","18","97","8","24","8.25","24.74","-60.12","21","7","12","33.33","33.33","-0.32","173","16","46","9.25","9.25","-19.12",
"Condon, R J","6","0","1","0","16.67","-6","305","15","67","4.92","21.97","-147.75","145","58","165","6","34","3.64","20.61","-105","15","3","9","20","20","-6.25","173","8","38","4.62","4.62","-87.75",
"Cox, William","11","0","0","0","0","-11","410","22","79","5.37","19.27","-219.54","62","53","172","5","21","2.91","12.21","-139","16","4","9","25","25","-4.12","302","20","67","6.62","6.62","-122.54",
"Crouch, Hector","29","6","12","20.69","41.38","1.04","817","130","281","15.91","34.39","-33.69","4","4","461","75","153","16.27","33.19","-17.31","148","45","80","30.41","30.41","-28.28","472","82","164","17.37","17.37","65.83",
"Cullinan, Mr C","3","1","1","33.33","33.33","4","74","3","8","4.05","10.81","-48","12","1","47","1","6","2.13","12.77","-40","1","0","1","0","0","-1","27","2","3","7.41","7.41","-5",
"Currie, Nicola","10","0","1","0","10","-10","428","27","80","6.31","18.69","-210.76","42","24","186","7","25","3.76","13.44","-138.92","18","6","9","33.33","33.33","1.91","307","23","60","7.49","7.49","-126.26",
"Curtis, B A","49","11","23","22.45","46.94","-0.37","1127","182","417","16.15","37","-140.38","1","1","536","68","192","12.69","35.82","-107.8","220","84","141","38.18","38.18","8.28","807","131","286","16.23","16.23","-27.35",
"Da Silva, Raul","2","0","0","0","0","-2","47","2","12","4.26","25.53","-1.67","57","16","43","2","11","4.65","25.58","2.33","5","0","2","0","0","-5","29","2","8","6.9","6.9","16.33",
