Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Maxwell, C D","1","0","0","0","0","-1","2","0","0","0","0","-2","2","0","0","0","0","-2","4","0","0","0","0","-4","378","11","38","2.91","10.05","-167.02","161","56","154","2","12","1.3","7.79","-97","7","2","5","28.57","28.57","-3.02","183","7","20","3.83","3.83","-58.75",
"McConville, Mr D J","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","1","2","2","4","-40.5","561","31","23","0","0","0","0","-23","2","0","0","0","0","-2","42","1","2","2.38","2.38","-32.5",
"McCullagh, N G","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","-4","9","1","3","11.11","33.33","6","343","12","50","3.5","14.58","-203.5","9","5","161","6","24","3.73","14.91","-89.5","7","0","2","0","0","-7","182","11","37","6.04","6.04","-48",
"McCullagh, Scott","0","0","0","0","0","0","1","0","0","0","0","-1","6","0","1","0","16.67","-6","12","0","3","0","25","-12","309","21","84","6.8","27.18","-149.1","93","56","165","8","43","4.85","26.06","-94.59","16","1","7","6.25","6.25","-13.5","205","15","58","7.32","7.32","-106.09",
"McDonald, P J","5","0","2","0","40","-5","10","1","5","10","50","-6.87","14","2","6","14.29","42.86","-8.24","33","6","14","18.18","42.42","34.51","948","114","324","12.03","34.18","-122.81","3","10","408","54","152","13.24","37.25","68.54","116","37","68","31.9","31.9","-16.6","631","73","198","11.57","11.57","-60.22",
"McDonogh, D P","1","0","0","0","0","-1","2","0","0","0","0","-2","20","3","7","15","35","-10.83","27","3","8","11.11","29.63","-17.83","937","79","253","8.43","27","-381.93","5","9","444","38","111","8.56","25","-200.1","80","21","48","26.25","26.25","-24.51","436","29","104","6.65","6.65","-203.92",
"McEntee, Grace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","212","17","46","8.02","21.7","-55.99","80","18","141","9","29","6.38","20.57","-34.12","14","5","9","35.71","35.71","-0.99","170","13","38","7.65","7.65","-40.99",
"McMonagle, Dylan B","5","1","3","20","60","-1","8","1","4","12.5","50","-4","12","2","8","16.67","66.67","-5.75","31","3","14","9.68","45.16","-21.5","1176","147","404","12.5","34.35","-303.48","1","2","548","70","193","12.77","35.22","-179.77","220","67","150","30.45","30.45","-40.06","550","59","160","10.73","10.73","-95.25",
"McSweeney, O","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","13","1","1","7.69","7.69","-9.25","346","32","86","9.25","24.86","-82.13","9","5","211","22","55","10.43","26.07","-9.62","25","7","15","28","28","4.16","246","22","68","8.94","8.94","-75.09",
"Mitchell, Jack","2","0","0","0","0","-2","9","1","4","11.11","44.44","-3.5","19","1","7","5.26","36.84","-13.5","35","3","12","8.57","34.29","-20.14","1236","186","485","15.05","39.24","-320.78","3","9","663","99","263","14.93","39.67","-165.81","288","88","175","30.56","30.56","-68.35","803","121","311","15.07","15.07","-112.4",
"Moore, Ryan","2","1","1","50","50","-0.75","2","1","1","50","50","-0.75","8","5","5","62.5","62.5","21.03","14","10","10","71.43","71.43","31.42","871","225","440","25.83","50.52","-131.94","1","1","398","109","205","27.39","51.51","-44.97","373","150","249","40.21","40.21","-44.94","253","41","94","16.21","16.21","-55.23",
"Morgan, Mr Beau","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","100","100","3.5","2","1","2","50","100","2.5","179","24","64","13.41","35.75","-84.06","6","1","99","7","31","7.07","31.31","-73.87","32","14","25","43.75","43.75","4.19","141","16","48","11.35","11.35","-69.2",
"Morris, Luke","0","0","0","0","0","0","11","0","5","0","45.45","-11","21","0","6","0","28.57","-21","44","1","14","2.27","31.82","-41.62","2121","185","568","8.72","26.78","-637.14","8","22","950","84","249","8.84","26.21","-328.5","192","57","112","29.69","29.69","-34.34","1560","140","418","8.97","8.97","-429.72",
"Mortensen, Mikkel","0","0","0","0","0","0","1","0","1","0","100","-1","3","0","1","0","33.33","-3","8","0","1","0","12.5","-8","124","12","31","9.68","25","-41.42","18","12","84","7","20","8.33","23.81","-39.5","12","2","4","16.67","16.67","-5.67","111","12","30","10.81","10.81","-28.42",
"Mullen, Andrew","1","0","0","0","0","-1","4","0","1","0","25","-4","9","0","3","0","33.33","-9","29","0","5","0","17.24","-29","1131","98","283","8.66","25.02","-342.83","15","30","573","45","132","7.85","23.04","-170.81","84","22","52","26.19","26.19","-21.07","888","81","225","9.12","9.12","-217.28",
"Murphy, D J","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","2","0","25","-8","9999","9999","8","0","2","0","25","-8","0","0","0","0","0","0","6","0","1","0","0","-6",
"Murphy, Oisin","5","0","2","0","40","-5","10","0","4","0","40","-10","26","5","13","19.23","50","-10.17","69","17","36","24.64","52.17","-7.91","1832","350","826","19.1","45.09","-220.68","5","18","1098","227","538","20.67","49","-86.86","534","178","340","33.33","33.33","-40.56","1110","187","445","16.85","16.85","-234.66",
"Murtagh, Connor","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","33.33","-3","13","0","2","0","15.38","-13","305","18","64","5.9","20.98","-138.54","17","14","137","11","39","8.03","28.47","-48.54","10","2","6","20","20","-1.62","203","15","54","7.39","7.39","-54.79",
"Muscutt, D","4","0","2","0","50","-4","8","0","2","0","25","-8","17","3","7","17.65","41.18","-2.5","36","6","17","16.67","47.22","2.33","1712","214","579","12.5","33.82","-510.6","4","9","802","90","256","11.22","31.92","-261.61","295","91","181","30.85","30.85","-30.68","1149","151","414","13.14","13.14","-280.41",
"Nichol, Craig","4","0","0","0","0","-4","4","0","0","0","0","-4","4","0","0","0","0","-4","5","0","0","0","0","-5","661","61","158","9.23","23.9","-88.57","41","10","340","37","86","10.88","25.29","2.91","51","12","28","23.53","23.53","-15.07","459","50","124","10.89","10.89","-26.35",
"Nicholls, Mia","0","0","0","0","0","0","3","0","0","0","0","-3","4","0","0","0","0","-4","8","0","1","0","12.5","-8","278","27","65","9.71","23.38","-53.52","37","21","169","12","34","7.1","20.12","-49.97","21","6","9","28.57","28.57","-5.73","258","26","64","10.08","10.08","-54.52",
"Nolan, D","1","0","0","0","0","-1","4","0","0","0","0","-4","10","1","2","10","20","-5.5","30","2","9","6.67","30","-22.75","793","95","253","11.98","31.9","-152.66","7","10","538","65","168","12.08","31.23","-121.67","97","24","51","24.74","24.74","-16.95","630","79","205","12.54","12.54","-80.28",
"Noonan, David G","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","7","0","1","0","14.29","-7","763","61","156","7.99","20.45","-134.46","41","15","410","33","82","8.05","20","-56.03","44","15","29","34.09","34.09","-3.22","503","36","100","7.16","7.16","-121.93",
"Norton, Francis","0","0","0","0","0","0","3","0","1","0","33.33","-3","7","0","1","0","14.29","-7","7","0","1","0","14.29","-7","653","74","197","11.33","30.17","-139.57","50","33","256","27","79","10.55","30.86","-20.84","74","18","37","24.32","24.32","-24.22","484","55","153","11.36","11.36","-125.39",
"Obrien, Miss Fern","1","0","0","0","0","-1","2","0","0","0","0","-2","3","0","0","0","0","-3","4","0","0","0","0","-4","72","8","27","11.11","37.5","-37.82","21","6","33","5","13","15.15","39.39","-11.69","9","3","4","33.33","33.33","-1.15","59","5","21","8.47","8.47","-30.92",
"ONeill, K T","0","0","0","0","0","0","10","1","2","10","20","3","22","2","5","9.09","22.73","-6.62","38","3","9","7.89","23.68","-20.24","1532","138","401","9.01","26.17","-316.28","2","5","784","74","215","9.44","27.42","-244","117","38","73","32.48","32.48","-14.02","1125","93","285","8.27","8.27","-285.04",
"Orr, Oisin","6","0","3","0","50","-6","9","0","4","0","44.44","-9","18","1","7","5.56","38.89","-9.5","43","4","12","9.3","27.91","-19.87","1119","136","373","12.15","33.33","-338.68","4","10","612","73","185","11.93","30.23","-194.54","147","47","81","31.97","31.97","-1.48","779","85","238","10.91","10.91","-250.26",
"Osborne, Saffie","2","0","0","0","0","-2","4","1","1","25","25","1","16","3","5","18.75","31.25","-3","37","7","11","18.92","29.73","12.5","1233","164","393","13.3","31.87","-25.72","3","3","622","94","208","15.11","33.44","-5.39","132","50","81","37.88","37.88","22.49","872","125","295","14.33","14.33","132.2",
"OShea, Mr C P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","3","8","6.82","18.18","-31.75","97","11","25","3","6","12","24","-12.75","2","1","2","50","50","0.25","37","3","8","8.11","8.11","-24.75",
"Palmer, Oscar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","100","100","9","28","2","10","7.14","35.71","-11","14","1","23","2","7","8.7","30.43","-6","3","0","2","0","0","-3","26","2","10","7.69","7.69","-9",
"Pearson, Laura","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","1","0","50","-2","3","0","1","0","33.33","-3","424","32","87","7.55","20.52","-97.93","23","9","257","13","47","5.06","18.29","-79","28","9","19","32.14","32.14","-1.93","302","28","70","9.27","9.27","2.77",
"Peate, Jonny","1","1","1","100","100","10","2","1","1","50","50","9","4","2","2","50","50","10.25","11","3","4","27.27","36.36","7.58","697","62","180","8.9","25.82","-230.04","1","1","360","32","99","8.89","27.5","-89.37","59","18","37","30.51","30.51","-3.61","585","58","158","9.91","9.91","-139.54",
