horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Murbih (IRE)","17:10:00","2022-04-23","Ripon","Flat (Turf)","Handicap","5f ","5","Good","9","Class 4","29","2","Hardie, Cameron","11","Brittain, Antony","123","68","4","0.1",
"Murbih (IRE)","19:45:00","2022-03-25","Newcastle","All Weather","Handicap","5f ","5","Standard To Slow","6","Class 4","13","4","Hardie, Cameron","12","Brittain, Antony","122","69","7","1.45",
"Murbih (IRE)","15:16:00","2022-03-12","Wolverhampton","All Weather","Novices","7f ","7","Standard","12","Class 5","17","6","Hardie, Cameron","33","Brittain, Antony","124","0","2","12.65",
"Murbih (IRE)","16:20:00","2022-02-23","Newcastle","All Weather","Novices","7f ","7","Standard","8","Class 5","30","5","Hardie, Cameron","3.5","Brittain, Antony","131","0","5","5.5",
"Murbih (IRE)","16:00:00","2022-01-24","Southwell","All Weather","Novices","6f ","6","Standard To Slow","9","Class 5","No Prev","3","Hardie, Cameron","33","Brittain, Antony","128","0","5","1.5",
"Sherdil (IRE)","14:15:00","2022-04-20","Catterick","Flat (Turf)","Handicap","5f ","5","Good","13","Class 5","14","12","Lee, Clifford","3.5","Burke, K R","129","66","13","13.85",
"Sherdil (IRE)","13:30:00","2022-04-06","Catterick","Flat (Turf)","Handicap Maiden","5f ","5","Good To Soft","10","Class 5","37","2","Hart, Jason","3","Burke, K R","129","66","9","2",
"Sherdil (IRE)","18:00:00","2022-02-28","Wolverhampton","All Weather","Handicap","5f ","5","Standard","8","Class 5","13","6","Jamin, Pierre-Louis","14","Burke, K R","122","67","4","4.8",
"Sherdil (IRE)","18:45:00","2022-02-15","Newcastle","All Weather","Handicap","5f ","5","Standard To Slow","7","Class 5","12","7","Lee, Clifford","7.5","Burke, K R","130","67","3","1.4",
"Sherdil (IRE)","19:00:00","2022-02-03","Chelmsford City","All Weather","Novices","5f ","5","Standard","7","Class 5","111","4","Lee, Clifford","2.75","Burke, K R","126","70","1","4.25",
"Theoretical (IRE)","17:30:00","2022-05-07","Thirsk","Flat (Turf)","Handicap","5f ","5","Good","11","Class 5","37","2","Robinson, Ben","40","Ellison, B","122","59","8","0.5",
"Theoretical (IRE)","17:45:00","2022-03-31","Chelmsford City","All Weather","Handicap","6f ","6","Standard","9","Class 6","14","5","Robinson, Ben","12","Ellison, B","137","62","9","12.4",
"Theoretical (IRE)","19:45:00","2022-03-17","Southwell","All Weather","Novices","6f ","6","Standard","9","Class 5","12","4","Robinson, Ben","150","Ellison, B","122","0","5","3.4",
"Theoretical (IRE)","20:00:00","2022-03-05","Southwell","All Weather","Novices","5f ","5","Standard To Slow","7","Class 5","254","4","Robinson, Ben","80","Ellison, B","124","0","7","9.85",
"Theoretical (IRE)","14:35:00","2021-06-24","Newcastle","All Weather","Novices","6f ","6","Standard To Slow","9","Class 4","No Prev","7","Russell, Harry","66","Ellison, B","121","0","5","8.6",
"Tiberio Smile","20:30:00","2022-05-10","Newcastle","All Weather","Handicap","5f ","5","Standard","12","Class 6","14","9","Jary, Alex","20","Tinkler, N","130","67","13","6.1",
"Tiberio Smile","17:15:00","2022-04-26","Nottingham","Flat (Turf)","Handicap","5f ","5","Good To Firm","4","Class 5","209","3","Scott, Rowan","5.5","Tinkler, N","132","70","2","3.25",
"Tiberio Smile","13:00:00","2021-09-29","Nottingham","Flat (Turf)","Maiden","5f ","5","Good","16","Class 4","24","12","Scott, Rowan","10","Tinkler, N","131","0","3","9.38",
"Tiberio Smile","14:10:00","2021-09-05","York","Flat (Turf)","Novices","5½f ","5.5","Good To Firm","9","Class 3","35","4","Scott, Rowan","33","Tinkler, N","128","0","9","3",
"Tiberio Smile","13:50:00","2021-08-01","Thirsk","Flat (Turf)","Maiden","5f ","5","Good","13","Class 4","No Prev","9","Scott, Rowan","66","Tinkler, N","131","0","8","8.88",
"Tilly The Filly (IRE)","17:15:00","2022-04-26","Nottingham","Flat (Turf)","Handicap","5f ","5","Good To Firm","4","Class 5","20","2","Lee, G","3.5","Smart, B","128","66","3","0.5",
"Tilly The Filly (IRE)","13:30:00","2022-04-06","Catterick","Flat (Turf)","Handicap Maiden","5f ","5","Good To Soft","10","Class 5","50","5","Lee, G","4","Smart, B","130","67","7","8.25",
"Tilly The Filly (IRE)","18:45:00","2022-02-15","Newcastle","All Weather","Handicap","5f ","5","Standard To Slow","7","Class 5","126","2","Lee, G","5.5","Smart, B","129","66","5","0.15",
"Tilly The Filly (IRE)","18:00:00","2021-10-12","Newcastle","All Weather","Novices","6f ","6","Standard","13","Class 5","21","5","Lee, G","22","Smart, B","124","0","3","4.6",
