trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Clover, Tom","5","0","3","0","60","-5","12","2","6","16.67","50","-6.72","428","48","138","11.21","32.24","-177.38","12","10","186","19","61","10.22","32.8","-90.41","75","24","45","32","32","-12.96","262","22","74","8.4","8.4","-146.79",
"Coakley, D J","2","0","0","0","0","-2","5","1","1","20","20","10","174","19","47","10.92","27.01","-9.43","11","4","86","8","18","9.3","20.93","-14.99","22","5","12","22.73","22.73","-6.01","139","18","42","12.95","12.95","22.32",
"Cole, P F I","1","0","0","0","0","-1","8","0","2","0","25","-8","313","41","132","13.1","42.17","-82.23","18","14","163","19","67","11.66","41.1","-56.34","49","14","35","28.57","28.57","-12.48","191","21","73","10.99","10.99","-69.29",
"Collier, Tjade","1","0","0","0","0","-1","3","0","1","0","33.33","-3","149","11","39","7.38","26.17","-86.75","21","4","75","7","20","9.33","26.67","-38.75","20","5","13","25","25","-1.75","106","11","39","10.38","10.38","-43.75",
"Coulson, Jake Thomas","2","0","0","0","0","-2","6","0","1","0","16.67","-6","129","7","21","5.43","16.28","7","43","11","70","2","9","2.86","12.86","-46","3","1","2","33.33","33.33","-0.5","90","4","13","4.44","4.44","13.5",
"Cowell, R M H","7","1","3","14.29","42.86","2.5","14","2","6","14.29","42.86","1","568","46","143","8.1","25.18","-88.99","2","1","262","20","67","7.63","25.57","-52.17","36","11","19","30.56","30.56","1.1","429","37","111","8.62","8.62","-39.03",
"Cox, C G","8","2","3","25","37.5","4.73","33","4","8","12.12","24.24","-8.02","977","139","346","14.23","35.41","-186.81","2","4","478","56","160","11.72","33.47","-140.44","148","66","100","44.59","44.59","43.81","556","81","200","14.57","14.57","-100.36",
"Coyle, Tony","4","0","1","0","25","-4","5","0","1","0","20","-5","197","17","52","8.63","26.4","-54.37","24","10","88","8","16","9.09","18.18","-43","27","7","16","25.93","25.93","-5.87","148","16","43","10.81","10.81","-7.62",
"Crisford, Simon","8","2","4","25","50","-3.21","15","3","7","20","46.67","-7.96","709","150","329","21.16","46.4","-104.81","1","3","323","75","157","23.22","48.61","-20.32","168","75","116","44.64","44.64","9.95","300","58","116","19.33","19.33","-43.29",
"Dascombe, Tom","3","0","0","0","0","-3","7","0","0","0","0","-7","476","60","145","12.61","30.46","-130.87","36","24","134","11","38","8.21","28.36","-60.04","54","17","32","31.48","31.48","1.14","272","39","86","14.34","14.34","-69.32",
"Davis, D J S Ffrench","2","1","1","50","50","-0.2","8","1","3","12.5","37.5","-6.2","236","24","70","10.17","29.66","-64.74","3","2","136","20","46","14.71","33.82","5.76","19","5","16","26.32","26.32","-6.82","152","14","50","9.21","9.21","-41.17",
"Day, Anthony","0","0","0","0","0","0","1","0","0","0","0","-1","16","2","2","12.5","12.5","116","20","2","8","2","2","25","25","124","0","0","0","0","0","0","13","2","2","15.38","15.38","119",
"Dobbin, Mrs R","0","0","0","0","0","0","5","2","2","40","40","-0.75","261","33","82","12.64","31.42","-49.63","9","4","131","15","40","11.45","30.53","-18.16","34","13","19","38.24","38.24","0.62","208","26","65","12.5","12.5","-46.13",
"Dods, M","21","4","10","19.05","47.62","-1.49","31","5","14","16.13","45.16","-7.16","1058","115","339","10.87","32.04","-198.32","1","5","539","60","179","11.13","33.21","-142.37","128","38","76","29.69","29.69","-5.23","807","86","255","10.66","10.66","-138.78",
"Dow, S","4","0","0","0","0","-4","6","0","1","0","16.67","-6","320","23","77","7.19","24.06","-148.81","69","32","98","9","21","9.18","21.43","-39.75","29","5","15","17.24","17.24","-13.55","281","21","70","7.47","7.47","-117.14",
"Dunlop, E A L","15","4","8","26.67","53.33","9","29","8","15","27.59","51.72","5.19","868","96","267","11.06","30.76","-263.01","1","2","470","59","155","12.55","32.98","-143.64","91","30","57","32.97","32.97","-2.88","586","75","204","12.8","12.8","-124.12",
"Earle, Simon","1","0","1","0","100","-1","3","0","1","0","33.33","-3","75","4","15","5.33","20","91.5","83","19","51","2","12","3.92","23.53","81","3","0","2","0","0","-3","54","3","13","5.56","5.56","-13.5",
